timestamp,B1,B2,D1,D2,F1,F2,H1,H2
2022/10/26-17:22:30,1066.125977,1328.39502,1070.289795,942.1262207,1005.520447,928.0209961,887.3838501,765.0324707
2022/10/26-17:23:00,1065.708984,1329.661255,1071.376953,946.8532715,1004.685059,924.6306152,887.651001,766.9818726
2022/10/26-17:23:30,1067.412842,1329.335083,1072.241577,949.9781494,1006.007202,921.8519287,889.7954102,768.2937012
2022/10/26-17:24:00,1066.29187,1330.240356,1074.679077,952.1765137,1008.452209,920.0465088,892.166687,768.9434814
2022/10/26-17:24:30,1065.978149,1331.311035,1074.451294,960.8635254,1007.99762,918.3511963,889.0043335,771.2669067
2022/10/26-17:25:00,1067.485596,1329.761963,1073.991577,964.3909912,1009.73938,917.4217529,888.4284668,771.2960815
2022/10/26-17:25:30,1068.011597,1330.802612,1075.057739,950.932373,1009.268433,914.4451904,887.4212036,771.3370361
2022/10/26-17:26:00,1067.241211,1329.486938,1072.260498,955.6958008,1007.412231,912.3304443,887.3231812,771.425354
2022/10/26-17:26:30,1066.904785,1329.608032,1073.851685,964.0784912,1003.570435,914.2716064,887.0499878,773.1687012
2022/10/26-17:27:00,1069.906128,1331.327393,1074.658081,1022.161987,1004.888123,915.8218384,888.0340576,774.6882935
2022/10/26-17:27:30,1070.099121,1331.133667,1078.776733,1005.964233,1003.12793,927.1291504,887.2905273,774.0596313
2022/10/26-17:28:00,1070.514526,1329.831909,1083.688843,997.6193848,1002.030334,926.8490601,888.2640381,775.5704346
2022/10/26-17:28:30,1071.318115,1331.929688,1084.981934,977.3522949,1001.806458,930.8937378,888.5021362,773.0192871
2022/10/26-17:29:00,1072.15564,1333.862549,1090.406616,970.8128662,1001.781555,927.078064,887.1612549,772.1858521
2022/10/26-17:29:30,1072.919922,1334.222168,1091.997925,978.6020508,1002.849243,922.2744141,887.1164551,771.668335
2022/10/26-17:30:00,1071.869019,1337.10022,1093.196289,983.5513916,1003.937927,921.2455444,887.1672363,767.6644287
2022/10/26-17:30:30,1068.880737,1338.633545,1091.187866,983.6744385,1005.504517,920.6699829,886.6450806,766.3137207
2022/10/26-17:31:00,1067.903687,1338.191528,1091.303345,988.4622803,1006.347595,919.9317627,887.8117676,766.1945801
2022/10/26-17:31:30,1067.390015,1338.95166,1093.54126,993.6999512,1009.613892,920.5273438,886.2221069,766.1634521
2022/10/26-17:32:00,1067.603882,1339.598999,1092.790283,991.8087158,1009.647949,921.3291626,888.4293213,765.9944458
2022/10/26-17:32:30,1068.087769,1342.094604,1093.796875,981.0541992,1011.517273,926.2493286,888.9699707,766.8238525
2022/10/26-17:33:00,1070.229248,1342.139404,1092.590332,980.7930908,1013.133179,926.6804199,885.760376,768.0944214
2022/10/26-17:33:30,1073.468628,1343.383667,1089.617432,981.5577393,1014.630432,921.2808228,882.2728882,766.7296753
2022/10/26-17:34:00,1075.444702,1345.561035,1087.639282,976.0712891,1014.114685,922.5183105,880.8668823,769.6843872
2022/10/26-17:34:30,1077.557251,1347.441162,1087.037109,922.8207397,1012.398315,916.3475342,883.3010864,770.517334
2022/10/26-17:35:00,1081.069336,1350.91333,1086.87207,921.8352051,1011.439392,916.4974365,882.4487305,772.0886841
2022/10/26-17:35:30,1083.715088,1351.64978,1086.514893,924.2788696,1010.83728,915.9751587,884.8652344,772.3657227
2022/10/26-17:36:00,1083.415527,1349.610107,1086.331177,926.6193848,1012.136841,919.9823608,884.5440063,771.3919067
2022/10/26-17:36:30,1082.974487,1346.228149,1087.195923,934.3446045,1014.483276,923.5220947,885.6782837,769.7121582
2022/10/26-17:37:00,1079.630127,1343.098389,1086.28772,944.822998,1015.671936,925.4091187,884.4411621,768.4897461
2022/10/26-17:37:30,1076.409424,1340.431641,1081.92395,945.0032959,1015.777283,928.1756592,884.4872437,766.1347046
2022/10/26-17:38:00,1074.060425,1338.02832,1079.893677,945.0090332,1015.243469,925.8189697,884.8096313,765.2929077
2022/10/26-17:38:30,1073.083374,1336.293579,1075.501343,938.1917725,1012.944214,926.140564,886.4187012,762.0238647
2022/10/26-17:39:00,1075.473022,1336.268555,1075.483398,937.0532227,1014.048035,927.2017212,885.3641357,761.2163086
2022/10/26-17:39:30,1077.699707,1336.198486,1079.021484,938.03125,1013.614746,926.1739502,883.2376709,758.1459351
2022/10/26-17:40:00,1077.205078,1338.198364,1080.434814,983.6289063,1011.591736,924.3248901,883.9329834,758.7938843
2022/10/26-17:40:30,1073.17041,1337.857544,1079.248047,976.3024902,1010.964905,920.8151245,882.223877,755.9263916
2022/10/26-17:41:00,1070.606934,1336.927734,1077.522339,979.1732178,1009.835144,921.1719971,879.0447998,754.9679565
2022/10/26-17:41:30,1067.917358,1334.93689,1076.417725,987.6087646,1010.079834,924.15625,879.0808716,754.6079712
